,url,product_code,tltle,price_main,stock,Крепость,Бренд,Сорта винограда,Регион,Вино,Насыщенность,Объем,Глубина цвета,Производитель,Сайт производителя,Подходит к,Температура сервировки,Вкус,product_type,price_discount,Сайт бренда,Потенциал хранения,Страна производства,Органическое,Биодинамическое,Игристое вино/шампанское,Разновидность
245,https://winestyle.ru/products/Villa-Krim-Traminer-Blanc-rus.html,Артикул: в126374,"""Вилла Крым"" Траминер Блан, 750 мл",559 ₽,in_stock,10.5 %,Villa Krim,Траминер,Россия; Крым,Белое; Полусладкое,лёгкое,0.75 л,светлое,ООО АВК (Алеф-Виналь-Крым),,белое мясо; салат; рыба-гриль,10–12 °С,фруктовый; цветочный; цитрусовые; пряный/острый; мед; легкое; долгий/продолжительный; сладковатый,wine,,https://villakrim.com/,,,,,,
246,https://winestyle.ru/products/Krinica-Riesling-2021.html,Артикул: в235322,"Krinica, Riesling, 2021, 750 мл",3 150 ₽,in_stock,12 %,,Рислинг,Россия; Краснодарский край,Белое; Сухое,среднее,0.75 л,светлое,Винодельня Криница,https://krinitsa.wine,рыба; белое мясо; аперитив; морепродукты/дары моря; шницель; рыба-гриль,11–13 °С,цветочный; специи/пряности; травы; грейпфрут; пчелиный воск; лайм; чистый; освежающий; маслянистый,wine,,,,,,,,
247,https://winestyle.ru/products/Massandra-Sherry-Massandra.html,Артикул: в28429,"Massandra, Sherry Massandra"", 750 мл",1 070 ₽,in_stock,19.5 %,,Серсиаль; Альбильо; Вердельо; Алиготе,Россия; Крым,Херес; Сладкое,среднее,0.75 л,светлое,Массандра,http://massandra.su/,салат; сыры; овощи; легкие блюда; тарталетка; оливки/маслины,12–14 °С,ваниль; орехи; миндаль; богатый; гармоничный; долгий/продолжительный; коньяк,wine,,,,,,,,
248,https://winestyle.ru/products/Krinica-Colline-2020.html,Артикул: в192237,"Krinica, ""Colline"", 2020, 750 мл",3 790 ₽,in_stock,13.8 %,,Сира; Марселан; Мурведр,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,тёмное,Винодельня Криница,https://krinitsa.wine,красное мясо; стейк; мясо на гриле; зрелые/выдержанные сыры,15–17 °С,фруктовый; свежий; вишня; травы; пряный/острый; кедр; насыщенный/интенсивный; долгий/продолжительный; концентрированный,wine,,,,,,,,
249,https://winestyle.ru/products/Uroki-Francuzskogo-Syrah.html,Артикул: в223127,"""Uroki Francuzskogo"" Syrah, 750 мл",889 ₽,in_stock,13.5 %,Уроки Французского,Сира,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,насыщенное,Chateau de Talu,http://chateaudetalu.ru/,петух; гриль; оленина; мясные закуски; мясо под соусом,16–18 °С,специи/пряности; слива; сухой; темные ягоды; насыщенный/интенсивный; приятный; сбалансированный; долгий/продолжительный,wine,,,2-3 года,,,,,
250,https://winestyle.ru/products/AV-cuvee-Chardonnay-Pinot-Blanc-Pinot-Gris.html,Артикул: в195551,"""АВ кюве"" Шардоне-Пино Блан-Пино Гри, 750 мл",989 ₽,in_stock,13.5 %,AV cuvee,Шардоне; Пино Блан; Пино Гри,Россия; Крым,Белое; Сухое,среднее,0.75 л,светлое,Alma Valley,http://alma-valley.ru/,рыба; морепродукты/дары моря; холодные закуски,9–12 °С,фруктовый; свежий; сухой; насыщенный/интенсивный; сбалансированный; гармоничный; долгий/продолжительный; бальзамико,wine,,,,,,,,
251,https://winestyle.ru/products/Inkerman-Chateau-Rouge.html,Артикул: в57331,"Inkerman, ""Chateau Rouge"", 700 мл",399 ₽,in_stock,13.5 %,,Каберне Фран; Пино Нуар; Мерло,Россия; Крым; Севастополь,Красное; Полусухое,лёгкое,0.7 л,тёмное,Инкерман,http://inkerman.ru/,мясо; дичь; сыры,15–18 °С,фруктовый; свежий; терпкий; гармоничный,wine,,,,,,,,
252,https://winestyle.ru/products/Cimmeria-Shiraz-Dry-Krym-PGI.html,Артикул: в179078,"""Киммерия"" Шираз Сухое, 750 мл",399 ₽,in_stock,13.5 %,Cimmeria,Шираз,Россия; Крым,Красное; Сухое,среднее,0.75 л,насыщенное,Driada Group,http://www.driada-wine.com,сыры; закуски; стейк; барбекю; мясо на гриле; колбасные изделия,16–18 °C,фруктовый; ягоды; пряный/острый; сухой; насыщенный/интенсивный; приятный; сбалансированный; терпкий; долгий/продолжительный; бархатистый; шелковистый,wine,,,,,,,,
253,https://winestyle.ru/products/Chateau-Tamagne-Cabernet-de-Tamagne.html,Артикул: в59020,"Шато Тамань, Каберне, 750 мл",629 ₽,in_stock,12.5 %,Chateau Tamagne,Каберне Совиньон,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,насыщенное,Кубань-Вино,http://kuban-vino.ru/,мясо; сыры,14-16 °С,свежий; богатый; насыщенный/интенсивный; гармоничный; чистый,wine,,https://chateautamagne.ru,,,,,,
254,https://winestyle.ru/products/Vostock-du-Chateau-le-Grand-Vostock-Selection-Blanc-375.html,Артикул: в234199,"""Восток дю Шато ле Гран Восток"" Селексьон Блан, 0.375 литра",409 ₽,in_stock,12.5 %,Vostock du Chateau le Grand Vostock,Совиньон Блан; Алиготе,Россия; Краснодарский край,Белое; Сухое,среднее,375 мл,светлое,Chateau le Grand Vostock,http://grandvostock.ru/,рыба; аперитив; морепродукты/дары моря; азиатская кухня; мягкие сыры,8–10 °С,фруктовый; свежий; цитрусовые; сухой; округлый; сбалансированный; чистый,wine,,,,,,,,
