,url,product_code,tltle,price_discount,price_main,stock,Крепость,Бренд,Сорта винограда,Регион,Вино,Насыщенность,Объем,Глубина цвета,Производитель,Сайт производителя,Подходит к,Температура сервировки,Вкус,product_type,Сайт бренда,Потенциал хранения,Страна производства,Органическое,Биодинамическое,Игристое вино/шампанское,Разновидность
1240,https://winestyle.ru/products/Sokrovishcha-Kryma-Sauvignon.html,Артикул: в105733,"""Sokrovishcha Kryma"" Sauvignon, 750 мл",,529 ₽,in_stock,13 %,Сокровища Крыма,Совиньон Блан,Россия; Крым,Белое; Сухое,лёгкое,0.75 л,светлое,Фотисаль,https://www.fotisal.ru,птица; закуски; фрукты,8-10 °С,зеленое яблоко; смородина; мягкий; гармоничный; освежающий,wine,,,,,,,
1241,https://winestyle.ru/products/Istoricheskij-Krym-Cabernet-Sauvignon-Dry.html,Артикул: в243213,"""Istoricheskij Krym"" Cabernet Sauvignon Dry, 750 мл",,409 ₽,in_stock,11.8 %,Исторический Крым,Каберне Совиньон,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,тёмное,Тавинко,https://tavinco.ru,мясо; сыры; десерты; колбасные изделия,16-18 °С,фруктовый; пряный/острый; сухой; мягкий; сбалансированный; долгий/продолжительный,wine,,,,,,,
1242,https://winestyle.ru/products/The-Legend-of-Crimea-Pinot-Gris.html,Артикул: в243058,"""The Legend of Crimea"" Pinot Gris, 750 мл",,729 ₽,in_stock,13 %,Золотое Поле; The Legend of Crimea,Пино Гри,Россия; Крым,Белое; Сухое,среднее,0.75 л,светлое,Золотое Поле,https://www.zolotoe-pole.com,рыба; белое мясо; аперитив; молодые сыры,10–12 °С,фруктовый; цитрусовые; утонченный; мягкий; гладкий; интригующий; кислинка; изящный,wine,,,,,,,
1243,https://winestyle.ru/products/Terra-Petra-White-Dry.html,Артикул: в66729,"""Terra Petra"" White Dry, 750 мл",,429 ₽,in_stock,12 %,Терра Петра,Белые сорта винограда,Россия; Краснодарский край; Крымск,Белое; Сухое,лёгкое,0.75 л,светлое,Олимп,https://olimpwine.ru,рыба; белое мясо; аперитив; морепродукты/дары моря; салат; сыры; овощи,10-12 °C,свежий; зеленое яблоко; легкое; сбалансированный; гармоничный; освежающий; фруктовая кислинка,wine,,,,,,,
1244,https://winestyle.ru/products/Pokrovskoe-Rkatsiteli-Chardonnay.html,Артикул: в170632,"""Pokrovskoe"" Rkatsiteli-Chardonnay, 750 мл",,699 ₽,in_stock,13.3 %,Покровское,Ркацители; Шардоне,Россия,Белое; Сухое,среднее,0.75 л,светлое,Винодельня Покровская,http://www.pokrovwine.com/,птица; рыба; морепродукты/дары моря,10–12 °С,грейпфрут; цитрусовые; пряный/острый; чистый; долгий/продолжительный,wine,,,,,,,
1245,https://winestyle.ru/products/Burlyuk-Frumentum-Aligote.html,Артикул: в227916,"""Фрументум"" Алиготе, 750 мл",,609 ₽,in_stock,12 %,Frumentum,Алиготе,Россия; Крым,Белое; Сухое,лёгкое,0.75 л,светлое,Бурлюк,https://burluk-winery.com,рыба; белое мясо; аперитив; морепродукты/дары моря; закуски,10-12 °С,фруктовый; свежий; перец; мягкий; гармоничный; горьковатый; пикантный; изысканный/элегантный,wine,,,,,,,
1246,https://winestyle.ru/products/Tost-Tamady-Saperavi.html,Артикул: в151447,"""Tost Tamady"" Saperavi, 750 мл",,449 ₽,in_stock,13 %,Тост Тамады,Саперави,Россия; Краснодарский край,Красное; Сухое,среднее,0.75 л,тёмное,Олимп,https://olimpwine.ru,мясо; мясо на гриле; твердые сыры; жареное красное мясо; сытные блюда,16-18 °С,фруктовый; насыщенный/интенсивный; приятный; терпкий; гармоничный,wine,,,,,,,
1247,https://winestyle.ru/products/Sokrovishcha-Tamani-Premium-Chardonnay.html,Артикул: в186837,"""Sokrovishcha Tamani"" Premium Chardonnay, 750 мл",,429 ₽,in_stock,11.5 %,Сокровища Тамани,Шардоне,Россия; Москва,Белое; Полусладкое,лёгкое,0.75 л,светлое,Олимп,https://olimpwine.ru,морепродукты/дары моря; закуски; десерты; фрукты; легкие блюда; рыба-гриль,10–12 °С,фруктовый; цветочный; мягкий; приятный; чистый; изысканный/элегантный,wine,,,,,,,
1248,https://winestyle.ru/products/Alma-Valley-Pique-Nique-Red-Semi-Sweet-2023.html,Артикул: в251025,"Альма Валей, ""Пикник"" Красное Полусладкое, 2023, 750 мл",799 ₽,939 ₽,in_stock,13.5 %,Pique-Nique,Каберне Совиньон; Пино Нуар; Мерло,Россия; Крым,Красное; Полусладкое,среднее,0.75 л,тёмное,Alma Valley,http://alma-valley.ru/,аперитив; десерты; шоколад; фруктовый десерт,14–16 °С,свежий; ягоды; пряный/острый; насыщенный/интенсивный; терпкий; долгий/продолжительный; нежный; изящный,wine,,,,,,,
1249,https://winestyle.ru/products/Odnazhdy-v-Rossii-Chardonnay-Riesling.html,Артикул: в238692,"""Odnazhdy v Rossii"" Chardonnay Riesling, 750 мл",,439 ₽,in_stock,12 %,Однажды в России,Шардоне; Рислинг,Россия; Крым; Севастополь,Белое; Сухое,лёгкое,0.75 л,светлое,Любимый город ЛТД,http://vpk.com.ru/,рыба; аперитив; морепродукты/дары моря; паста; закуски; ризотто; овощи,10–12 °С,фруктовый; минералы; легкое; приятный; сбалансированный; гармоничный,wine,,,,,,,
1250,https://winestyle.ru/products/Krymskiy-Pogrebok-Cabernet.html,Артикул: в62592,"""Krymskiy Pogrebok"" Cabernet, 750 мл",,579 ₽,in_stock,13 %,Крымский Погребок,Каберне Совиньон,Россия; Крым,Красное; Сухое,среднее,0.75 л,тёмное,Фотисаль,https://www.fotisal.ru,мясо; сыры; мясо на гриле; твердые сыры; мясные закуски,14–16 °С,фруктовый; сухой; приятный; сбалансированный; долгий/продолжительный; изысканный/элегантный,wine,,,,,,,
1251,https://winestyle.ru/products/Burlyuk-Frumentum-Pinot-Noir.html,Артикул: в227915,"""Фрументум"" Пино Нуар, 750 мл",529 ₽,679 ₽,in_stock,12 %,Frumentum,Пино Нуар,Россия; Крым,Красное; Полусладкое,среднее,0.75 л,умеренное,Бурлюк,https://burluk-winery.com,мясо; сыры; фрукты; пирог; выпечка; паштет,14-16 °С,фруктовый; мягкий; округлые танины; сладковатый; бархатистый,wine,,,,,,,
1252,https://winestyle.ru/products/Tagauri-Domashnee-Red-Semi-Sweet.html,Артикул: в125393,"""Tagauri"" Domashnee Red Semi-Sweet, 750 мл",,489 ₽,in_stock,12 %,Тагаури,Красные сорта винограда,Россия; Краснодарский край,Красное; Полусладкое,лёгкое,0.75 л,насыщенное,Олимп,https://olimpwine.ru,красное мясо; мясо на гриле,16-18 °С,фруктовый; легкое; мягкий; гармоничный,wine,,,,,,,
1253,https://winestyle.ru/products/The-Legend-of-Crimea-Muscat-Ottonel.html,Артикул: в243059,"""The Legend of Crimea"" Muscat Ottonel, 750 мл",,729 ₽,in_stock,13 %,Золотое Поле; The Legend of Crimea,Мускат Оттонель,Россия; Крым,Белое; Сухое,среднее,0.75 л,светлое,Золотое Поле,https://www.zolotoe-pole.com,рыба; белое мясо; аперитив; молодые сыры,10–12 °С,фруктовый; мускатный орех; утонченный; мягкий; чистый; гладкий; изысканный/элегантный; кислинка,wine,,,,,,,
1254,https://winestyle.ru/products/The-Legend-of-Crimea-Pinot-Gris-Rose.html,Артикул: в243061,"""The Legend of Crimea"" Pinot Gris Rose, 750 мл",,759 ₽,in_stock,13 %,Золотое Поле; The Legend of Crimea,Пино Гри,Россия; Крым,Розовое; Сухое,среднее,0.75 л,умеренное,Золотое Поле,https://www.zolotoe-pole.com,рыба; белое мясо; аперитив; молодые сыры,10–12 °С,фруктовый; ягоды; утонченный; мягкий; сливочный; чистый; интригующий; изысканный/элегантный; кислинка,wine,,,,,,,
1255,https://winestyle.ru/products/Derbent-Wine-Company-Desono-Merlot-2022.html,Артикул: в219894,"""Дэсоно"" Мерло, 2022, 750 мл",,819 ₽,in_stock,12.5 %,Desono,Мерло,Россия; Дагестан; Дербент,Красное; Сухое,среднее,0.75 л,тёмное,Дербентская Винодельческая Компания,https://derbentwine.ru,красное мясо; сыры; закуски; легкие блюда,16–18 °С,фруктовый; пряный/острый; округлый; полный; долгий/продолжительный; тонкий,wine,,,,,,,
1256,https://winestyle.ru/products/Sokrovishcha-Tamani-Premium-Cabernet-Franc.html,Артикул: в186835,"""Sokrovishcha Tamani"" Premium Cabernet Franc, 750 мл",,419 ₽,in_stock,11.4 %,Сокровища Тамани,Каберне Фран,Россия; Москва,Красное; Полусухое,лёгкое,0.75 л,умеренное,Олимп,https://olimpwine.ru,мясо; дичь; твердые сыры; мясные закуски,16–18 °С,фруктовый; ягоды; округлый; приятный; сбалансированный; терпкий; бархатистый,wine,,,,,,,
1257,https://winestyle.ru/products/Sokrovishcha-Kryma-Saperavi-Merlot.html,Артикул: в165270,"""Sokrovishcha Kryma"" Saperavi Merlot, 750 мл",,549 ₽,in_stock,13 %,Сокровища Крыма,Саперави; Мерло,Россия; Крым,Красное; Сухое,среднее,0.75 л,насыщенное,Фотисаль,https://www.fotisal.ru,мясо; дичь; жаркое; мясные закуски,16–18 °С,ягоды; сухой; мягкий; приятный; гармоничный; округлые танины; долгий/продолжительный,wine,,,,,,,
